DIRECTION,STUDY_DATE,VOLUME
W,01/01/2023 12:00:00 AM,72
E,01/01/2023 12:00:00 AM,81
W,01/01/2023 12:15:00 AM,206
E,01/01/2023 12:15:00 AM,172
W,01/01/2023 12:30:00 AM,274
E,01/01/2023 12:30:00 AM,178
W,01/01/2023 12:45:00 AM,246
E,01/01/2023 12:45:00 AM,154
W,01/01/2023 01:00:00 AM,216
E,01/01/2023 01:00:00 AM,160
W,01/01/2023 01:15:00 AM,166
E,01/01/2023 01:15:00 AM,143
W,01/01/2023 01:30:00 AM,149
E,01/01/2023 01:30:00 AM,138
W,01/01/2023 01:45:00 AM,142
E,01/01/2023 01:45:00 AM,128
W,01/01/2023 02:00:00 AM,126
E,01/01/2023 02:00:00 AM,92
W,01/01/2023 02:15:00 AM,105
E,01/01/2023 02:15:00 AM,109
W,01/01/2023 02:30:00 AM,111
E,01/01/2023 02:30:00 AM,74
W,01/01/2023 02:45:00 AM,81
E,01/01/2023 02:45:00 AM,86
W,01/01/2023 03:00:00 AM,91
E,01/01/2023 03:00:00 AM,67
W,01/01/2023 03:15:00 AM,72
E,01/01/2023 03:15:00 AM,83
W,01/01/2023 03:30:00 AM,57
E,01/01/2023 03:30:00 AM,44
W,01/01/2023 03:45:00 AM,50
E,01/01/2023 03:45:00 AM,43
W,01/01/2023 04:00:00 AM,44
E,01/01/2023 04:00:00 AM,38
W,01/01/2023 04:15:00 AM,36
E,01/01/2023 04:15:00 AM,43
W,01/01/2023 04:30:00 AM,23
E,01/01/2023 04:30:00 AM,30
W,01/01/2023 04:45:00 AM,33
E,01/01/2023 04:45:00 AM,29
W,01/01/2023 05:00:00 AM,17
E,01/01/2023 05:00:00 AM,31
W,01/01/2023 05:15:00 AM,25
E,01/01/2023 05:15:00 AM,39
W,01/01/2023 05:30:00 AM,34
E,01/01/2023 05:30:00 AM,43
W,01/01/2023 05:45:00 AM,34
E,01/01/2023 05:45:00 AM,34
W,01/01/2023 06:00:00 AM,34
E,01/01/2023 06:00:00 AM,34
W,01/01/2023 06:15:00 AM,45
E,01/01/2023 06:15:00 AM,56
W,01/01/2023 06:30:00 AM,68
E,01/01/2023 06:30:00 AM,92
W,01/01/2023 06:45:00 AM,57
E,01/01/2023 06:45:00 AM,85
W,01/01/2023 07:00:00 AM,73
